repo_name,week,n_prs,mean_log_hours,mean_hours,merge_rate,is_treated_repo,treatment_date,event_time_weeks,post,treated,treated_x_post,event_quarter,eq_m8,eq_m7,eq_m6,eq_m5,eq_m4,eq_m3,eq_m2,eq_0,eq_1,eq_2,eq_3,eq_4,eq_5,eq_6,eq_7,eq_8
AUTOMATIC1111/stable-diffusion-webui,2023-02-06,19,5.167651652146225,410.0,0.0,True,2022-10-11,17.0,1,1,1,1.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
AUTOMATIC1111/stable-diffusion-webui,2023-02-13,21,4.392807605290911,432.6190476190476,0.0,True,2022-10-11,18.0,1,1,1,1.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
AUTOMATIC1111/stable-diffusion-webui,2023-02-20,26,5.3162998213315635,445.15384615384613,0.0,True,2022-10-11,19.0,1,1,1,1.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
AUTOMATIC1111/stable-diffusion-webui,2023-02-27,12,6.128721717463644,1100.0833333333333,0.0,True,2022-10-11,20.0,1,1,1,1.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
AUTOMATIC1111/stable-diffusion-webui,2023-03-06,31,3.890274873185834,306.61290322580646,0.0,True,2022-10-11,21.0,1,1,1,1.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
AUTOMATIC1111/stable-diffusion-webui,2023-03-13,28,4.596860886148592,708.3571428571429,0.0,True,2022-10-11,22.0,1,1,1,1.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
AUTOMATIC1111/stable-diffusion-webui,2023-03-20,41,4.362216802527428,401.9756097560976,0.0,True,2022-10-11,23.0,1,1,1,1.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
AUTOMATIC1111/stable-diffusion-webui,2023-03-27,40,5.511641600456734,797.875,0.0,True,2022-10-11,24.0,1,1,1,1.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
AUTOMATIC1111/stable-diffusion-webui,2023-04-03,24,5.690968578817212,544.125,0.0,True,2022-10-11,25.0,1,1,1,1.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
AUTOMATIC1111/stable-diffusion-webui,2023-04-10,16,4.931637690366171,624.875,0.0,True,2022-10-11,26.0,1,1,1,2.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
